, 14 days,SMA12,EMA12,TBR24,VOL29,MOM10,,SMA26,EMA26,TBR12,VOL87,,Change,Gain,Loss,AV GAIN,AV LOSS,RS(INPUT 10),RSI,,,,SMA_12>SMA26,EMA_12>EMA26,TBR12>TBR24,VOL29>VOL87,MOM>0,RSI>70%,14 day increase
357.54,0,NA,NA,-0.012211294,0.019454528,1.66,,NA,NA,-0.009172786,0.0422732,,-1.1,0,1.1,1.599,1.765,0.905949008,47.53269917,,,,0,0,0,0,1,1,0
356.44,0,NA,NA,-0.015250304,0.021489485,-0.55,,NA,NA,-0.012221145,0.042290223,,1.66,1.66,0,1.82,1.765,1.031161473,50.76708508,,,,0,0,0,0,0,1,0
358.1,0,NA,NA,-0.015153599,0.024419639,-6.07,,NA,NA,-0.007620895,0.042499487,,-6.07,0,6.07,2.206,1.599,1.379612258,57.97634691,,,,0,0,0,0,0,1,0
352.03,1,NA,NA,-0.046325143,0.028292955,-1.66,,NA,NA,-0.024442289,0.042909797,,1.1,1.1,0,1.765,1.599,1.103814884,52.46730083,,,,0,0,0,0,0,1,1
353.13,1,NA,NA,-0.046187505,0.031761993,-4.97,,NA,NA,-0.021393931,0.043107092,,-2.76,0,2.76,1.986,1.489,1.333781061,57.15107914,,,,0,0,0,0,0,1,1
350.37,1,NA,NA,-0.056471159,0.035164822,-8.83,,NA,NA,-0.029042538,0.04367414,,-4.41,0,4.41,2.372,1.489,1.593015447,61.43486143,,,,0,0,0,0,0,1,1
345.96,1,NA,NA,-0.07657814,0.037508182,6.62,,NA,NA,-0.041263683,0.043937971,,6.62,6.62,0,1.931,2.593,0.744697262,42.68346596,,,,0,0,0,0,1,1,1
352.58,1,NA,NA,-0.072572796,0.037874253,0,,NA,NA,-0.02291811,0.043856715,,8.27,8.27,0,1.931,1.931,1,50,,,,0,0,0,0,0,1,1
360.85,1,NA,NA,-0.06573633,0.038953845,-6.06,,NA,NA,-0.001549487,0.044122746,,0,0,0,1.931,1.325,1.457358491,59.30589681,,,,0,0,0,0,0,1,1
360.85,0,NA,NA,-0.072341191,0.040226537,0.56,,NA,NA,-0.001549487,0.044801688,,-1.65,0,1.65,1.931,1.987,0.971816809,49.28534967,,,,0,0,0,0,1,1,0
359.2,0,NA,NA,-0.083088705,0.041293445,1.65,,NA,NA,-0.007625152,0.045271896,,-3.31,0,3.31,1.822,1.987,0.916960242,47.83407719,,,,0,0,0,0,1,1,0
355.89,1,355.245,355.245,-0.091537971,0.043196042,6.07,,NA,NA,-0.016769809,0.045749334,,-3.86,0,3.86,1.491,2.098,0.710676835,41.54360546,,,,0,0,0,0,1,1,1
352.03,1,354.7858333,355.174359,-0.101391193,0.043818085,9.93,,NA,NA,-0.027433971,0.046158687,,-1.66,0,1.66,1.105,2.098,0.526692088,34.49890727,,,,0,0,0,0,1,1,1
350.37,1,354.28,355.0367653,-0.10562859,0.04333885,8.28,,NA,NA,-0.032020113,0.046221363,,-2.21,0,2.21,1.27,2.098,0.605338418,37.70783848,,,,0,0,0,0,1,1,1
348.16,1,353.4516667,354.792904,-0.111269943,0.042686657,9.38,,NA,NA,-0.042490581,0.046040277,,-6.62,0,6.62,1.16,2.098,0.552907531,35.60466544,,,,0,0,0,0,1,1,1
341.54,1,352.5775,354.4520726,-0.128168475,0.041055694,22.07,,NA,NA,-0.074743315,0.045696085,,11.04,11.04,0,0.498,2.705,0.184103512,15.54792382,,,,0,0,0,0,1,1,1
352.58,1,352.5316667,354.1566255,-0.108791264,0.037954472,16.55,,NA,NA,-0.047673068,0.044969577,,0,0,0,0.498,2.153,0.231305156,18.78536401,,,,0,0,0,0,1,1,1
352.58,1,352.7158333,353.9349652,-0.108791264,0.036239836,17.65,,NA,NA,-0.050519739,0.044685528,,2.21,2.21,0,0.498,2.263,0.220061865,18.03694314,,,,0,0,0,0,1,1,1
354.79,1,353.4516667,353.8606116,-0.103205096,0.034250142,16.55,,NA,NA,-0.053009476,0.04438817,,6.62,6.62,0,0.498,2.153,0.231305156,18.78536401,,,,0,0,0,0,1,1,1
361.41,1,354.1875,353.9109021,-0.086471867,0.032293232,13.24,,NA,NA,-0.049346345,0.044126274,,-0.56,0,0.56,0.498,1.822,0.273326015,21.46551724,,,,0,0,0,0,1,1,1
360.85,1,354.1875,353.9534556,-0.087887367,0.031141154,19.32,,NA,NA,-0.06573633,0.044006884,,1.11,1.11,0,0.442,2.374,0.186183656,15.69602273,,,,0,0,0,0,1,1,1
361.96,1,354.28,354.0036932,-0.085081644,0.030392037,24.28,,NA,NA,-0.069487647,0.043904574,,0,0,0,0.442,2.87,0.154006969,13.34541063,,,,0,0,0,0,1,1,1
361.96,1,354.51,354.0815866,-0.085081644,0.029425045,27.03,,NA,NA,-0.076043395,0.043839043,,-3.31,0,3.31,0.442,3.145,0.140540541,12.32227488,,,,0,0,0,0,1,1,1
